Old,New,Comment
--semantic-size-content-l,--semantic-size-content-xl
--semantic-size-content-xl,--semantic-size-content-2xl
--semantic-size-content-s,--icon-plain-s-size
--semantic-size-content-m,--icon-plain-m-size
--semantic-size-content-l,--icon-plain-xl-size
--semantic-size-content-xl,--icon-plain-2xl-size
--semantic-size-component-l,--icon-contained-xl-surface-size
--semantic-size-content-l,--icon-contained-xl-size
--semantic-size-component-xl,--icon-contained-2xl-surface-size
--semantic-size-content-xl,--icon-contained-2xl-size
--icon-illustrative-contained-l-size,--icon-contained-xl-size
--icon-illustrative-contained-xl-size,--icon-contained-2xl-size
--semantic-text-decoration-none,--semantic-text-decoration-action-none
--semantic-text-decoration-action-resting,--semantic-text-decoration-action-emphasis
--semantic-text-decoration-action-hover,--semantic-text-decoration-action-none
--semantic-text-decoration-action-active,--semantic-text-decoration-action-none
--semantic-text-decoration-action-disabled,--semantic-text-decoration-action-emphasis
--semantic-text-utility-action-s-resting,--semantic-text-action-attention-emphasis-s
--semantic-text-utility-action-s-hover,--semantic-text-action-attention-s
--semantic-text-utility-action-s-active,--semantic-text-action-attention-s
--semantic-text-utility-action-s-disabled,--semantic-text-action-attention-emphasis-s
--semantic-text-utility-action-m-resting,--semantic-text-action-attention-emphasis-m
--semantic-text-utility-action-m-hover,--semantic-text-action-attention-m
--semantic-text-utility-action-m-active,--semantic-text-action-attention-m
--semantic-text-utility-action-m-disabled,--semantic-text-action-attention-emphasis-m
