Old,New,Comment
--core-border-position-outside,
--core-border-position-inside,
--core-breakpoint-m,--core-size-breakpoint-m
--core-breakpoint-l,--core-size-breakpoint-l
--core-breakpoint-2xl,--core-size-breakpoint-2xl
--core-breakpoint-3xl,--core-size-breakpoint-3xl
--core-breakpoint-max-width-xs,--core-internal-breakpoint-max-width-xs
--core-breakpoint-max-width-s,--core-internal-breakpoint-max-width-s
--core-breakpoint-max-width-m,--core-internal-breakpoint-max-width-m
--core-breakpoint-max-width-l,--core-internal-breakpoint-max-width-l
--core-breakpoint-max-width-xl,--core-internal-breakpoint-max-width-xl
--core-breakpoint-max-width-2xl,--core-internal-breakpoint-max-width-2xl
--core-breakpoint-max-width-3xl,--core-internal-breakpoint-max-width-3xl
--core-breakpoint-xs,--core-size-breakpoint-xs
--core-breakpoint-s,--core-size-breakpoint-s
--core-breakpoint-xl,--core-size-breakpoint-xl
--core-font-size-user-agent,--core-internal-font-size-user-agent
--core-grid-baseline,--core-size-grid-baseline
--core-grid-column-gap-xs,--core-gap-horizontal-grid-xs
--core-grid-column-gap-s,--core-gap-horizontal-grid-s
--core-grid-column-gap-m,--core-gap-horizontal-grid-m
--core-grid-column-gap-l,--core-gap-horizontal-grid-l
--core-grid-column-gap-xl,--core-gap-horizontal-grid-xl
--core-grid-column-gap-2xl,--core-gap-horizontal-grid-2xl
--core-grid-column-gap-3xl,--core-gap-horizontal-grid-3xl
--core-grid-inset-horizontal-xs,--core-inset-horizontal-grid-xs
--core-grid-inset-horizontal-s,--core-inset-horizontal-grid-s
--core-grid-inset-horizontal-m,--core-inset-horizontal-grid-m
--core-grid-inset-horizontal-l,--core-inset-horizontal-grid-l
--core-grid-inset-horizontal-xl,--core-inset-horizontal-grid-xl
--core-grid-inset-horizontal-2xl,--core-inset-horizontal-grid-2xl
--core-grid-inset-horizontal-3xl,--core-inset-horizontal-grid-3xl
--core-grid-max-width,--semantic-max-width-content
--core-grid-point,--core-size-grid-point
--core-internal-breakpoint-max-width-xs,--core-internal-max-width-breakpoint-xs
--core-internal-breakpoint-max-width-s,--core-internal-max-width-breakpoint-s
--core-internal-breakpoint-max-width-m,--core-internal-max-width-breakpoint-m
--core-internal-breakpoint-max-width-l,--core-internal-max-width-breakpoint-l
--core-internal-breakpoint-max-width-xl,--core-internal-max-width-breakpoint-xl
--core-internal-breakpoint-max-width-2xl,--core-internal-max-width-breakpoint-2xl
--core-internal-breakpoint-max-width-3xl,--core-internal-max-width-breakpoint-3xl
--core-motion-duration-0,--core-duration-0
--core-motion-duration-100,--core-duration-100
--core-motion-duration-250,--core-duration-250
--core-motion-duration-500,--core-duration-500
--semantic-blur-elevation-overlay,--semantic-blur-backdrop-attention
--semantic-color-brand-primary-active,--semantic-color-brand-default-active
--semantic-color-brand-primary-disabled,--semantic-color-brand-default-disabled
--semantic-color-brand-primary-hover,--semantic-color-brand-default-hover
--semantic-color-brand-primary-inverse-active,--semantic-color-brand-default-inverse-active
--semantic-color-brand-primary-inverse-disabled,--semantic-color-brand-default-inverse-disabled
--semantic-color-brand-primary-inverse-hover,--semantic-color-brand-default-inverse-hover
--semantic-color-brand-primary-inverse-resting,--semantic-color-brand-default-inverse-resting
--semantic-color-brand-primary-resting,--semantic-color-brand-default-resting
