Old,New,Comment
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-minimal-spacious,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-minimal-spacious-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-minimal-dense,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-minimal-dense-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-minimal-compact,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-minimal-compact-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-lively-spacious,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-lively-spacious-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-lively-dense,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-lively-dense-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-lively-compact,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-light-lively-compact-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-minimal-spacious,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-minimal-spacious-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-minimal-dense,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-minimal-dense-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-minimal-compact,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-minimal-compact-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-lively-spacious,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-lively-spacious-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-lively-dense,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-lively-dense-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files
node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-lively-compact,node_modules/@allianz/a1-design-tokens/dist/allianz/a1/web/tokens-dark-lively-compact-mixins,SCSS asset file name renaming necessary in order to prevent import file name collisions with imported CSS files  
